Category,Name,Description,Amount,Half_Tray,Full_tray,Bengali,Image
Appetizers,Aalo Samosa,,,,,,
Appetizers,Aalo Shingara,,,,,,
Appetizers,Beef Egg Rolls,,,,,,
Appetizers,Beef Liver Shingara,,,,,,
Appetizers,Beef Samosa,,,,,,
Appetizers,Beef Shingara,,,,,,
Appetizers,Beguni,,,,,,
Appetizers,Chicken Egg Rolls,,,,,,
Appetizers,Chicken Samosa,,,,,,
Appetizers,Chot Poti,,,,,,
Appetizers,Crispy Fried Cauliflower,,,,,,
Appetizers,Daal Puri,,,,,,
Appetizers,Haleem,,,,,,
Appetizers,Peaji,,,,,,
Appetizers,Chicken Spring Rolls,,,,,,
Appetizers,Beef Spring Rolls,,,,,,
Appetizers,Veggie Spring Rolls,,,,,,
Appetizers,Veggie Egg Rolls,,,,,,
Beef and Curries,Beef Curry,,,$70,$150,,
Beef and Curries,Beef Kala Buna,,,$75,$155,,
Beef and Curries,Beef Korma,,,$79,$160,,
Beef and Curries,Beef Rejala,,,$79,$160,,
Beef and Curries,Meshbani Ghosh,,,,,,
Beef and Curries,Aloo Ghosh,,,,,,
Beef and Curries,Achar Ghosh,,,,,,
Beef and Curries,Daal Ghosh,,,,,,
Biryanis and Rice,Beef Biryani,,,$79,$140,,
Biryanis and Rice,Chicken Biryani,,,$55,$110,,
Biryanis and Rice,Goat Biryani,,,$90,$180,,
Biryanis and Rice,Keema Polao,,,,,,
Biryanis and Rice,Beef Tehari,,,,,,
Biryanis and Rice,Khachi Biryani (Goat),,,$90,$180,,
Chicken and Curries,Butter Chicken,,,$100,$150,,
Chicken and Curries,Chicken Curry,,$4.99/leg quarter,,,,
Chicken and Curries,Chicken Roast,,$4.99/leg quarter,,,,
Chicken and Curries,Chicken Korma,,,,,,
Chicken and Curries,Chicken Buna,,,,,,
Chicken and Curries,Aloo Chicken,,,,,,
Fish and Curries,Kashki (chotto mass),,,,,,
Fish and Curries,Mrigal mass,,,,,,
Fish and Curries,Rui mass,,,,,,
Fish and Curries,Rup chanda (Pomfret),,,,,,
Fish and Curries,Tilapia mass,,,,,,
Goat and Curries,Goat Curry,,,$100,$195,,
Goat and Curries,Goat Korma,,,$110,$210,,
Goat and Curries,Goat Rejala,,,$100,$195,,
Mishti and Pitha,Chitoi pitha,,doodh - $2.50,,,,
Mishti and Pitha,Chom chom,,$9.50/lb,,,,
Mishti and Pitha,Goja,,$10:50/lb,,,,
Mishti and Pitha,Kalo jam,,$9.50/lb,,,,
Mishti and Pitha,Katari bhog,,$11.99/lb,,,,
Mishti and Pitha,Kheer,,$9.99/lb,,,,
Mishti and Pitha,Kheer mouchak,,$11.99/lb,,,,
Mishti and Pitha,Malai chop,,$10.50/lb,,,,
Mishti and Pitha,Malai chum chum,,$11.99/lb,,,,
Mishti and Pitha,Malai kari,,$10.99/lb,,,,
Mishti and Pitha,Nokshi pitha,,(depends on size),,,,
Mishti and Pitha,Pakan/Paan/Teler pitha,,$1.50/pc,,,,
Mishti and Pitha,Patisapta pitha (dooder kheer),,$2.00/pc,,,,
Mishti and Pitha,Puli pitha (coconut),,$1.75/pc,,,,
Mishti and Pitha,Rosh malai,,$10.99/lb,,,,
Mishti and Pitha,Rosogolla,,$10.50/lb,,,,
Mishti and Pitha,Vapa pitha,,$2.00/pc,,,,
Sweets and Deserts,,,,,,,
Tandoori & Kabab,Biya Bari Jaki Kabab,,,,,,
Tandoori & Kabab,Chapli Kabab,,,,,,
Tandoori & Kabab,Shammi Kabab,,,,,,
Tandoori & Kabab,Tandoori Chicken,,,,,,
Bangladesi Chinese,Fried Rice,,,,,,
Bangladesi Chinese,Chicken with Vegetables,,,,,,
Bangladesi Chinese,Veggie Mix,,,,,,
